model,rmse,mae,r2,median_ae
LinearRegression,4.54668599246111,2.2747539370484433,0.7694958042990826,1.415747888692529
MLP(baseline),3.9897544138949455,1.95763224321479,0.8225069960931307,1.2095694072493934
RandomForest,3.8535935420434084,1.8930604878557307,0.8344151027956348,1.143980633745345
XGBoost,3.8543405953241607,1.9187157234277823,0.8343508963713752,1.1710765838623045
DNN(tabular),4.126826196706132,2.000746072721042,0.8101016158822311,1.2009412765502923
LSTM(hourly_avg_fare),4.298919540254152,2.8770765993843526,0.056012091567878786,2.0610688291281978
XGBoost-TEST,3.729645047300977,1.8984309511888997,0.8420588706111762,1.175382375717163
XGBoost-TEST,3.729645047300977,1.8984309511888997,0.8420588706111762,1.175382375717163
XGBoost-TEST,3.729645047300977,1.8984309511888997,0.8420588706111762,1.175382375717163
